Feature Identification Domain Range;Abbreviation of feature Identification;;;;
AdditionalÂ metal/material:;;;;;
-       Debris;DEBR;;;;
-       Touching metal to metal;TMTM;;;;
-       Other;OTHE;;;;
Anomaly:;;;;;
-       Arc strike;ARCS;;;;
-       Artificial defect;ARTD;;;;
-       Blister;BLIS;;;;
-       Buckle ;BUCG;;;;
-       Buckle Local;BUCL;;;;
-       Buckle Propagation;BUCP;;;;
-       Corrosion;CORR;;;;
-       Corrosion cluster;COCL;;;;
-       Corrosion related to CRA;COCR;;;;
-       Crack;CRAC;;;;
-       Crack cluster;CRCL;;;;
-       Dent complex;DENC;;;;
-       Dent kinked;DENK;;;;
-       Dent plain;DENP;;;;
-       Gouge;GOUG;;;;
-       Gouge cluster;GOCL;;;;
-       Grinding;GRIN;;;;
-       Girth weld crack;GWCR;;;;
-       Girth weld anomaly;GWAN;;;;
-       Longitudinal weld crack;LWCR;;;;
-       Longitudinal weld anomaly;LWAN;;;;
-       Mill anomaly Grinding;MGRI;;;;
-       Mill anomaly Lamination;MLAM;;;;
-       Mill anomaly Lap;MLAP;;;;
-       Mill anomaly Non Metallic;MNOI;;;;
-       Mill anomaly cluster;MACL;;;;
-       Ovality;OVAL;;;;
-       Ripple/Wrinkle;RIWR;;;;
-       Roof Topping;ROTP;;;;
-       SCC;SCC;;;;
-       Spiral weld crack;SWCR;;;;
-       Spiral weld anomaly;SWAN;;;;
 Repair;;;;;
-       Welded sleeve begin/-end;WSLB/WSLE;;;;
-       Composite sleeve begin/-end;CSLB/CSLE;;;;
-       Weld deposit begin/-end;WDPB/WDPE;;;;
-       Coating begin/-end;COTB/COTE;;;;
-       Crack arrestor begin/end;CRAB/CRAE;;;;
-       Other begin/-end ;OTHB/OTHE;;;;
Weld;;;;;
-       Bend begin/-end;BENB/BENE;;;;
-       Change in diameter;CHDI;;;;
-       Change in wall thickness;CHWT;;;;
-       Adjacent tapering;ADTA;;;;
-       Longitudinal seam;LOSE;;;;
-       Spiral seam;SPSE;;;;
-       Not identifiable seam;NISE;;;;
-       Seamless;SMLS;;;;
