Feature Type Domain Range;Abbreviation of Feature Type;Note;;;
-       Above Ground Marker;AGM;;;;
-       AdditionalÂ metal/material;ADME;* It has domain range;;;
-       Anode;ANOD;;;;
-       Anomaly;ANOM;* It has domain range;;;
-       Buckle arrestor begin/-end;BUAB/BUAE;;;;
-       Casing begin/-end;CASB/CASE;;;;
-       Change in wall thickness;CHWT;;;;
-       CP connection;CPCO;;;;
-       External support;ESUP;;;;
-       Ground anchor;ANCH;;;;
-       Off take;OFFT;;;;
-       Other;OTHE;;;;
-       Pipeline fixture;PFIX;;;;
-       Reference magnet;MGNT;;;;
-       Repair;REPA;* It has domain range;;;
-       Tee;TEE;;;;
-       Valve;VALV;;;;
-       Weld;WELD;* It has domain range;;;
